"干物妹！うまるちゃん","2015"
"艦隊これくしょん","2015"
"ミリオンドール","2015"
"レーカン！","2015"
"コメット・ルシファー","2015"
"下ネタという概念が存在しない退屈な世界","2015"
"プラスティック・メモリーズ","2015"
"ミカグラ学園組曲","2015"
"山田くんと7人の魔女","2015"
"モンスター娘のいる日常","2015"
"空戦魔導士候補生の教官","2015"
"終わりのセラフ（1期）","2015"
"パンチライン","2015"
"オレガイル2期","2015"
"洲崎西 THE ANIMATION","2015"
"終わりのセラフ 名古屋決戦編","2015"
"GANGSTA.","2015"
"ニセコイ(2期)","2015"
"ISUCA","2015"
"ケイオスドラゴン 赤竜戦役","2015"
"トリアージX","2015"
"電波教師","2015"
"ガンスリンガー ストラトス","2015"
"亜人","2016"
"僕だけがいない街","2016"
"灰と幻想のグリムガル","2016"
"ディメンションW","2016"
"この素晴らしい世界に祝福を！","2016"
"GATE　自衛隊 彼の地にて、斯く戦えり 炎龍編","2016"
"紅殻のパンドラ","2016"
"蒼の彼方のフォーリズム","2016"
"NORN9 ノルン+ノネット","2016"
"ファンタシースターオンライン2 ジ アニメーション","2016"
"ブブキ・ブランキ","2016"
"だがしかし","2016"
"最弱無敗の神装機竜","2016"
"ハルチカ ～ハルタとチカは青春する～","2016"
"FLAG{53cur3_5ql_a283b4dffe}","930375071"
